province,city,name,address
北京市,北京市,星巴克咖啡(北京百荣世贸商城店),永定门外大街甲101号百荣天海国际商贸城附近
北京市,北京市,星巴克咖啡(北京久敬庄路咖啡店),世界之花D区1层
北京市,北京市,星巴克咖啡(丽泽桥恒泰店),丰台北路18号院恒泰广场1层L1-19-20
北京市,北京市,星巴克咖啡(枫蓝国际中心店),西直门北大街32号院1号楼1层106-2
北京市,北京市,星巴克咖啡(北京亚运村华堂店),北京市朝阳区北四环东路108号千鹤家园5号楼F1-1001单元
北京市,北京市,星巴克咖啡(北京大族溢彩城店),荣华南路2号院8号楼1层F1-37号
北京市,北京市,星巴克咖啡(北京兴业银行咖啡店),朝阳门北大街20号兴业银行大厦1层
北京市,北京市,星巴克咖啡(北京大兴天键广场店),康庄东巷与枣园路交叉口东50米
北京市,北京市,星巴克咖啡(博雅CC店),生命科学园路4号院4号楼1层102
北京市,北京市,星巴克咖啡(安定路店),安定路5号院6号楼L104-1号
北京市,北京市,星巴克咖啡(金源燕莎二店),远大路1号北京燕莎友谊商城金源店B1层
北京市,北京市,星巴克咖啡(文化园西路店),经济技术开发区文化园西路6号院17号楼一层101-1单元
北京市,北京市,星巴克咖啡(金融街中心店),金融大家甲9号金融街中心1-101
北京市,北京市,星巴克咖啡(阜通东大街二店),阜通东大街1号院6号楼1层望京SOHO中心T3
北京市,北京市,星巴克咖啡(永定路咖啡店),永定路88号楼1层88-8室13/14号、2层88-10室16/17号
北京市,北京市,星巴克咖啡(畅春园店),颐和园路8号畅春园
北京市,北京市,星巴克咖啡(花园闸路店),紫檀大厦1层
北京市,北京市,星巴克咖啡(亦庄朝林广场店),荣华东路19号朝林广场A座一层
北京市,北京市,星巴克咖啡(乐多港店),城南街道南口路29号乐多港奥特莱斯购物中心1F层L1028
北京市,北京市,星巴克咖啡(杏石口咖啡店),杏石口路西杉创意园一区4号楼一层107-1号
北京市,北京市,星巴克咖啡(北京科学院南路店),科学院南路6号融科资讯中心B座1层019单元
北京市,北京市,星巴克咖啡(金宝汇店),金宝街88号金宝汇112号商铺1层
北京市,北京市,星巴克咖啡(望京东路店),望京东园四区6号楼北望金辉大厦1层105单元
北京市,北京市,星巴克咖啡(3号航站楼D区),首都国际机场中心广场东侧3号航站楼D区F2层W8
北京市,北京市,星巴克咖啡(机场2店),首都机场路1号航站楼F1层
北京市,北京市,星巴克咖啡(金汇路店),金汇路世界城商业街9号1层W111单元
北京市,北京市,星巴克咖啡(北京南站7店),永定门外大街北京南站交通枢纽出发层2层
北京市,北京市,星巴克咖啡(南站6店),永外车站路12号北京南站B1层
北京市,北京市,星巴克咖啡(望京东园店),绿地中心c座1层
北京市,北京市,星巴克咖啡(德胜国际中心店),德胜门外大街85号德胜国际中心B座1层102号
北京市,北京市,星巴克咖啡(北京朝外悠唐店),三丰北里2号楼悠唐购物中心F1层F1-03、F1-30-1
北京市,北京市,星巴克咖啡(鼎好店),中关村大街1号海龙大厦1号楼1层F100号铺位
北京市,北京市,星巴克咖啡(和谐广场店),莲宝中路西侧万丰路68号和谐广场1层
北京市,北京市,星巴克咖啡(3号航站楼C区),首都国际机场中心广场东侧3号航站楼C区4F层
北京市,北京市,星巴克咖啡(西小口路店),西小口路66号中关村东升科技园B区6号楼C座1层101室
北京市,北京市,星巴克咖啡(盈科中心店),工人体育场北路甲2号裙房1层103A单元、2层202A-203A单元
北京市,北京市,星巴克咖啡(家乐福店),立汤路186号龙德广场家乐福2层
